Criado como novo conjunto de dados;"0307_DANIEL.spp","63905.6 Secs"
cm-1;Abs
9838.000000;0.417980
9837.000000;0.416597
9836.000000;0.415137
9835.000000;0.413617
9834.000000;0.412097
9833.000000;0.410671
9832.000000;0.409420
9831.000000;0.408404
9830.000000;0.407625
9829.000000;0.406942
9828.000000;0.406090
9827.000000;0.404907
9826.000000;0.403504
9825.000000;0.402116
9824.000000;0.400841
9823.000000;0.399622
9822.000000;0.398460
9821.000000;0.397454
9820.000000;0.396606
9819.000000;0.395708
9818.000000;0.394532
9817.000000;0.393079
9816.000000;0.391585
9815.000000;0.390279
9814.000000;0.389194
9813.000000;0.388206
9812.000000;0.387201
9811.000000;0.386171
9810.000000;0.385126
9809.000000;0.383986
9808.000000;0.382625
9807.000000;0.381053
9806.000000;0.379468
9805.000000;0.378078
9804.000000;0.376914
9803.000000;0.375870
9802.000000;0.374850
9801.000000;0.373801
9800.000000;0.372653
9799.000000;0.371373
9798.000000;0.370047
9797.000000;0.368814
9796.000000;0.367667
9795.000000;0.366435
9794.000000;0.365019
9793.000000;0.363550
9792.000000;0.362244
9791.000000;0.361140
9790.000000;0.360089
9789.000000;0.358990
9788.000000;0.357934
9787.000000;0.357064
9786.000000;0.356325
9785.000000;0.355428
9784.000000;0.354101
9783.000000;0.352342
9782.000000;0.350423
9781.000000;0.348637
9780.000000;0.347061
9779.000000;0.345593
9778.000000;0.344151
9777.000000;0.342790
9776.000000;0.341594
9775.000000;0.340511
9774.000000;0.339358
9773.000000;0.338011
9772.000000;0.336560
9771.000000;0.335226
9770.000000;0.334124
9769.000000;0.333149
9768.000000;0.332094
9767.000000;0.330835
9766.000000;0.329359
9765.000000;0.327677
9764.000000;0.325813
9763.000000;0.323889
9762.000000;0.322112
9761.000000;0.320610
9760.000000;0.319325
9759.000000;0.318106
9758.000000;0.316859
9757.000000;0.315560
9756.000000;0.314202
9755.000000;0.312843
9754.000000;0.311632
9753.000000;0.310634
9752.000000;0.309644
9751.000000;0.308325
9750.000000;0.306595
9749.000000;0.304757
9748.000000;0.303167
9747.000000;0.301886
9746.000000;0.300750
9745.000000;0.299644
9744.000000;0.298542
9743.000000;0.297351
9742.000000;0.295931
9741.000000;0.294309
9740.000000;0.292705
9739.000000;0.291283
9738.000000;0.290004
9737.000000;0.288783
9736.000000;0.287612
9735.000000;0.286429
9734.000000;0.284999
9733.000000;0.283142
9732.000000;0.281013
9731.000000;0.278982
9730.000000;0.277258
9729.000000;0.275765
9728.000000;0.274348
9727.000000;0.272923
9726.000000;0.271393
9725.000000;0.269632
